DEV LAL THAKUR,Dondi lohara,Independent,21360

JANAK LAL THAKUR,Dondi lohara,Independent,19242

RAJESH CHURENDRA,Dondi lohara,Janta Congress Chhattisgarh (J),13929

HITESHWARI KOTHARI,Dondi lohara,Independent,1902

MAHESH KUMAR KORETI,Dondi lohara,Ambedkarite Party of India,1279

RAMESH KUMAR CHURENDRA,Dondi lohara,Swabhiman Party,1256

YUGAL KISHOR RATRE,Dondi lohara,Aam Aadmi Party,1100

None of the Above,Dondi lohara,None of the Above,4842

DALESHWAR SAHU,Dongargaon,Indian National Congress,84581

